column_ref,code,description,notes
"csra_assessment_stage_risk_to.category","DIFFERENT_ETHNICITY","People of a different ethnicity.",""
"csra_assessment_stage_risk_to.category","DIFFERENT_RELIGION","People of a different religion.",""
"csra_assessment_stage_risk_to.category","DISABLED","Disabled people.",""
"csra_assessment_stage_risk_to.category","GANG_MEMBERS","Gang members.",""
"csra_assessment_stage_risk_to.category","SEXUAL_MINORITY","People of a sexual minority.",""
"csra_assessment_stage_risk_to.category","OLD_PEOPLE","Older people.",""
"csra_assessment_stage_risk_to.category","SPECIFIC_PERSONS","Specific named people - the names are in the accompanying free text.",""
"csra_assessment_stage_risk_to.category","TRANSGENDER","Transgender people.",""
"csra_assessment_stage_risk_to.category","OTHER","Another group, described in the accompanying free text.",""
"csra_assessment_stage_risk_to.category","NONE","No identified risk to any of these groups. A positive selection, not an absence of data.",""
"csra_assessment_stage_vulnerability.category","DISABLED","Disabled.",""
"csra_assessment_stage_vulnerability.category","SEXUAL_MINORITY","A sexual minority.",""
"csra_assessment_stage_vulnerability.category","MENTAL_HEALTH","Mental health.",""
"csra_assessment_stage_vulnerability.category","NEURODIVERSITY","Neurodiversity.",""
"csra_assessment_stage_vulnerability.category","OFFENCE_TYPE","Vulnerable because of their offence type.",""
"csra_assessment_stage_vulnerability.category","OLD_PEOPLE","Older people.",""
"csra_assessment_stage_vulnerability.category","TRANSGENDER","Transgender.",""
"csra_assessment_stage_vulnerability.category","OTHER","Another group, described in the accompanying free text.",""
"csra_assessment_stage_vulnerability.category","NONE","No identified vulnerabilities. A positive selection, not an absence of data.",""
"csra_current_rating.set_reason","RATING_SAVED","A rating was saved - a completed or provisional assessment or review, or a migrated/synced NOMIS review.",""
"csra_current_rating.set_reason","NO_RATING_ON_READMISSION","Reset to ""No rating"" because the prisoner was readmitted following a period of release.",""
"csra_current_rating.assessment_type","ASSESSMENT","An initial assessment. Covers the new-model initial journey and the legacy rating, reception, health and locate types.",""
"csra_current_rating.assessment_type","REVIEW","A review. Covers the new-model CSRA_REVIEW and the legacy NOMIS REVIEW type.",""
"csra_review_nomis.status","I","Inactive.","raw NOMIS value, held verbatim"
"csra_review_nomis.status","A","Active.","raw NOMIS value, held verbatim"
"csra_review_nomis.status","P","Provisional. This is what makes a migrated rating provisional rather than final - it is the only case where a NOMIS review is not treated as final.","raw NOMIS value, held verbatim"
"csra_review_nomis.calculated_level / .review_level / .approved_level","STANDARD","Standard.","raw NOMIS value. review_level is what NOMIS displays as the approved result and what the DPS rating derives from - approved_level is null on every known row"
"csra_review_nomis.calculated_level / .review_level / .approved_level","PEND","Pending - no level decided.","raw NOMIS value. review_level is what NOMIS displays as the approved result and what the DPS rating derives from - approved_level is null on every known row"
"csra_review_nomis.calculated_level / .review_level / .approved_level","LOW","Low. Unused in NOMIS for years; collapses to CsraResult.STANDARD in DPS and is display-only history.","raw NOMIS value. review_level is what NOMIS displays as the approved result and what the DPS rating derives from - approved_level is null on every known row"
"csra_review_nomis.calculated_level / .review_level / .approved_level","MED","Medium. Unused in NOMIS for years; collapses to CsraResult.STANDARD in DPS and is display-only history.","raw NOMIS value. review_level is what NOMIS displays as the approved result and what the DPS rating derives from - approved_level is null on every known row"
"csra_review_nomis.calculated_level / .review_level / .approved_level","HI","High.","raw NOMIS value. review_level is what NOMIS displays as the approved result and what the DPS rating derives from - approved_level is null on every known row"
"csra_review_nomis.committee_code / .review_committee_code","GOV","Governor.","NOMIS reference domain ASSESS_COMM; displayName=Governor; LABEL UNVERIFIED - best-effort expansion, check REFERENCE_CODES in preprod before relying on it"
"csra_review_nomis.committee_code / .review_committee_code","MED","Medical.","NOMIS reference domain ASSESS_COMM; displayName=Medical; LABEL UNVERIFIED - best-effort expansion, check REFERENCE_CODES in preprod before relying on it"
"csra_review_nomis.committee_code / .review_committee_code","OCA","Observation, Classification and Allocation.","NOMIS reference domain ASSESS_COMM; displayName=Observation, Classification and Allocation; LABEL UNVERIFIED - best-effort expansion, check REFERENCE_CODES in preprod before relying on it"
"csra_review_nomis.committee_code / .review_committee_code","RECP","Reception.","NOMIS reference domain ASSESS_COMM; displayName=Reception; label confirmed against the live DPS profile screen"
"csra_review_nomis.committee_code / .review_committee_code","REVIEW","Review Board.","NOMIS reference domain ASSESS_COMM; displayName=Review Board; label confirmed against the live DPS profile screen"
"csra_review_nomis.committee_code / .review_committee_code","SECSTATE","Secretary of State.","NOMIS reference domain ASSESS_COMM; displayName=Secretary of State; LABEL UNVERIFIED - best-effort expansion, check REFERENCE_CODES in preprod before relying on it"
"csra_review_nomis.committee_code / .review_committee_code","SECUR","Security.","NOMIS reference domain ASSESS_COMM; displayName=Security; LABEL UNVERIFIED - best-effort expansion, check REFERENCE_CODES in preprod before relying on it"
"csra_review_nomis.evaluation_result_code","APP","Approved.","raw NOMIS value, held verbatim"
"csra_review_nomis.evaluation_result_code","REJ","Rejected.","raw NOMIS value, held verbatim"
